FPVドローンスクール Instagram リール制作スケジュール（サンプル）,,,,,,,,,,,,,,,,
前提: 週2本投稿（水・土 19:00）／撮影は土曜にまとめ撮り（A=7/25・B=8/1・C=8/8・D=8/15）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No,タイトル,ジャンル,主目的,尺,台本確定,撮影準備完了,撮影日,素材選定,粗編集,仕上げ編集,サムネ・キャプション,最終チェック,投稿日時,ステータス,担当,備考
①,時速150kmの世界へようこそ,POV映像・トレンド音源,バズ（認知）,15-20秒,7/20(月),7/23(木),7/25(土) A,7/26(日),7/27(月),7/28(火),7/28(火),7/28(火),7/29(水) 19:00,未着手,,既存のベスト飛行素材を再編集＋手元・表情のみ新規撮影
②,普通のドローンとFPVの違い,比較解説,認知＋教育,45秒,7/20(月),7/23(木),7/25(土) A,7/26(日),7/28(火),7/30(木),7/31(金),7/31(金),8/1(土) 19:00,未着手,,通常ドローン映像はフリー素材可／練習風景を撮影
⑨,免許いるの？いくらかかるの？Q&A,Q&Aテンポ系,入校導線,45秒,7/20(月),7/23(木),7/25(土) A,7/27(月),8/17(月),8/20(木),8/24(月),8/25(火),8/26(水) 19:00,未着手,,講師1名・屋内一気撮り。撮影Aで先撮りしストック化
③,入校0日目 vs 卒業日,ビフォーアフター,入校導線,30秒,7/27(月),7/30(木),8/1(土) B,8/2(日),8/3(月),8/4(火),8/4(火),8/4(火),8/5(水) 19:00,未着手,,生徒1名の出演許可を事前取得／過去の練習ログ流用
④,スクールの1日密着VLOG,体験VLOG,入校導線,60秒,7/27(月),7/30(木),8/1(土) B,8/2(日),8/4(火),8/6(木),8/7(金),8/7(金),8/8(土) 19:00,未着手,,座学・シミュ・実機・ショップを1日で一巡撮影
⑧,1台のFPVドローンができるまで,製作タイムラプス,認知（強み訴求）,30秒,7/27(月),7/30(木),8/1(土) B,8/3(月),8/13(木),8/18(火),8/20(木),8/21(金),8/22(土) 19:00,未着手,,ショップで固定＋手元の2画角／組立は撮影Bの空き時間に
⑤,初心者はシミュレーターで何秒飛べる？,チャレンジ企画,バズ（認知）,30-40秒,8/3(月),8/6(木),8/8(土) C,8/9(日),8/10(月),8/11(火),8/11(火),8/11(火),8/12(水) 19:00,未着手,,初心者役の出演者を手配（スタッフの友人等）／2カメ
⑥,初心者がやりがちな墜落5選,あるある・失敗集,バズ（認知）,30-40秒,8/3(月),8/6(木),8/8(土) C,8/10(月),8/12(水),8/13(木),8/14(金),8/14(金),8/15(土) 19:00,未着手,,クラッシュ映像アーカイブを事前収集／不足分のみ補撮
⑦,FPVパイロットって仕事になるの？,卒業生インタビュー,入校導線,60秒,8/3(月),8/6(木),8/8(土) C,8/10(月),8/14(金),8/17(月),8/18(火),8/18(火),8/19(水) 19:00,未着手,,卒業生の出演・作例使用許可／金額表現は実態と照合
⑩,いつもの場所が映画のワンシーンに,ワンカット系バズ企画,バズ（認知）,20-30秒,8/6(木),8/13(木),8/15(土) D,8/16(日),8/18(火),8/21(金),8/26(水),8/27(木),8/29(土) 19:00,未着手,,コラボ先店舗の撮影許可必須／8/22(土)をリテイク予備日に
,,,,,,,,,,,,,,,,
■1本あたりの標準工程（テンプレート／投稿日から逆算）,,,,,,,,,,,,,,,,
工程,内容,目安工数,期限の目安,,,,,,,,,,,,,
企画・台本確定,フック/構成/CTA/必要素材リストを確定,1-2時間,撮影日の5日前,,,,,,,,,,,,,
撮影準備,ロケ・出演者・機体/バッテリー・許可取り,1-2時間,撮影日の2日前,,,,,,,,,,,,,
撮影,まとめ撮り推奨（1日で2-3本分）,0.5-1日,投稿日の4-7日前,,,,,,,,,,,,,
素材選定,OKテイク選定・素材整理,30分-1時間,撮影翌日,,,,,,,,,,,,,
粗編集,カット構成・音源ハメ,1-2時間,撮影+2日,,,,,,,,,,,,,
仕上げ編集,テロップ・色・音量調整,1-2時間,投稿日の2日前,,,,,,,,,,,,,
サムネ・キャプション,カバー画像・投稿文・ハッシュタグ,30分,投稿日の1-2日前,,,,,,,,,,,,,
最終チェック,誤字・権利・数値表現の確認,15分,投稿前日,,,,,,,,,,,,,
投稿,水・土 19:00／投稿後24hはコメント返信を優先,15分,投稿日,,,,,,,,,,,,,
